"","Frag.ID","Timepoint","Date","Treatment","Temperature","T.T","Weight","Temp","Salinity","sw_dens","skel_dens","dry_weight.g"
"137","M-9-20",0,"7/20/2023","E","HEAT","E-HEAT",10.094,25.1,53,1.03698865967124,2.93,15.6234774562226
"138","M-9-22",0,"7/20/2023","C","HEAT","C-HEAT",9.819,25.1,53,1.03698865967124,2.93,15.1978328851446
"139","M-9-23",0,"7/20/2023","I","HEAT","I-HEAT",9.306,25.1,53,1.03698865967124,2.93,14.4038122852791
"140","M-9-24",0,"7/20/2023","G","HEAT","G-HEAT",10.187,25.1,53,1.03698865967124,2.93,15.7674227111689
"141","M-9-25",0,"7/20/2023","E","HEAT","E-HEAT",10.664,25.1,53,1.03698865967124,2.93,16.5057225671842
"142","M-9-5",0,"7/20/2023","C","HEAT","C-HEAT",9.447,25.1,53,1.03698865967124,2.93,14.6220518653591
"143","M-9-6",0,"7/20/2023","I","AMB","I-AMB",10.659,26.4,53.1,1.03663275902499,2.93,16.4948824106185
"144","M-9-7",0,"7/20/2023","I","AMB","I-AMB",8.649,26.4,53.1,1.03663275902499,2.93,13.3843923416305
"145","plug 1",0,"7/20/2023","PLUG",NA,"PLUG-NA",5.935,25.8,53,1.03675742541763,2.93,9.18506177362717
"146","plug 10",0,"7/20/2023","PLUG",NA,"PLUG-NA",6.179,25.8,53,1.03675742541763,2.93,9.56267846659516
"147","plug 2",0,"7/20/2023","PLUG",NA,"PLUG-NA",5.716,25.8,53,1.03675742541763,2.93,8.84613531559442
"148","plug 3",0,"7/20/2023","PLUG",NA,"PLUG-NA",5.333,25.8,53,1.03675742541763,2.93,8.25340091638647
"149","plug 4",0,"7/20/2023","PLUG",NA,"PLUG-NA",5.962,25.8,53,1.03675742541763,2.93,9.22684722735723
"150","plug 5",0,"7/20/2023","PLUG",NA,"PLUG-NA",5.62,25.8,53,1.03675742541763,2.93,8.69756481344308
"151","plug 6",0,"7/20/2023","PLUG",NA,"PLUG-NA",6.098,25.8,53,1.03675742541763,2.93,9.43732210540497
"152","plug 7",0,"7/20/2023","PLUG",NA,"PLUG-NA",5.268,25.8,53,1.03675742541763,2.93,8.15280630555483
"153","plug 8",0,"7/20/2023","PLUG",NA,"PLUG-NA",5.348,25.8,53,1.03675742541763,2.93,8.27661505734762
"154","plug 9",0,"7/20/2023","PLUG",NA,"PLUG-NA",5.852,25.8,53,1.03675742541763,2.93,9.05661019364216
"155","M-1-1",2,"9/14/2023","C","AMB","C-AMB",9.845,25.9,53.2,1.03687680644896,2.93,15.2371753186818
"156","M-1-10",2,"9/14/2023","I","HEAT","I-HEAT",8.63,25.7,53.1,1.03686704165391,2.93,13.3566424315441
"157","M-1-11",2,"9/14/2023","G","AMB","G-AMB",9.981,26.4,53,1.03655647448617,2.93,15.4450500402772
"158","M-1-12",2,"9/14/2023","G","AMB","G-AMB",9.241,26.4,53,1.03655647448617,2.93,14.2999406294161
"159","M-1-15",2,"9/14/2023","G","HEAT","G-HEAT",9.135,25.9,53.1,1.03680045521341,2.93,14.1377331690713
"160","M-1-16",2,"9/14/2023","E","AMB","E-AMB",11.028,25.7,53.2,1.03694341764527,2.93,17.0687132657218
"161","M-1-17",2,"9/14/2023","E","AMB","E-AMB",8.865,25.7,53.2,1.03694341764527,2.93,13.7209052503286
"162","M-1-2",2,"9/14/2023","C","AMB","C-AMB",8.971,25.9,53.2,1.03687680644896,2.93,13.8844794092326
"163","M-1-20",2,"9/14/2023","E","HEAT","E-HEAT",8.78,25.6,53.2,1.03697661752364,2.93,13.5895838573041
"164","M-1-22",2,"9/14/2023","C","HEAT","C-HEAT",8.699,25.8,53.1,1.03683378366202,2.93,13.4631971456276
"165","M-1-23",2,"9/14/2023","I","HEAT","I-HEAT",8.366,25.7,53.1,1.03686704165391,2.93,12.9480498936614
"166","M-1-24",2,"9/14/2023","G","HEAT","G-HEAT",7.563,25.9,53.1,1.03680045521341,2.93,11.7048359012245
"167","M-1-25",2,"9/14/2023","E","HEAT","E-HEAT",9.011,25.6,53.2,1.03697661752364,2.93,13.9471230225704
"168","M-1-5",2,"9/14/2023","C","HEAT","C-HEAT",10.489,25.8,53.1,1.03683378366202,2.93,16.2335297000216
"169","M-1-6",2,"9/14/2023","I","AMB","I-AMB",8.823,25.7,53.2,1.03694341764527,2.93,13.6558992694471
"170","M-1-7",2,"9/14/2023","I","AMB","I-AMB",8.82,25.7,53.2,1.03694341764527,2.93,13.6512559850985
"171","M-2-1",2,"9/14/2023","C","AMB","C-AMB",9.698,25.9,53.2,1.03687680644896,2.93,15.00966239112
"172","M-2-10",2,"9/14/2023","I","HEAT","I-HEAT",9.579,25.7,53.1,1.03686704165391,2.93,14.8254087893118
"173","M-2-11",2,"9/14/2023","G","AMB","G-AMB",9.885,26.4,53,1.03655647448617,2.93,15.2964953058952
"174","M-2-12",2,"9/14/2023","G","AMB","G-AMB",8.793,26.4,53,1.03655647448617,2.93,13.6066852023001
"175","M-2-15",2,"9/14/2023","G","HEAT","G-HEAT",8.956,25.9,53.1,1.03680045521341,2.93,13.8607047906078
"176","M-2-16",2,"9/14/2023","E","AMB","E-AMB",8.387,25.7,53.2,1.03694341764527,2.93,12.98107527744
"177","M-2-17",2,"9/14/2023","E","AMB","E-AMB",10.369,25.7,53.2,1.03694341764527,2.93,16.0487384704633
"178","M-2-2",2,"9/14/2023","C","AMB","C-AMB",8.803,25.9,53.2,1.03687680644896,2.93,13.6244646348762
"179","M-2-20",2,"9/14/2023","E","HEAT","E-HEAT",9.866,25.6,53.2,1.03697661752364,2.93,15.2704822706336
"180","M-2-22",2,"9/14/2023","C","HEAT","C-HEAT",9.614,25.8,53.1,1.03683378366202,2.93,14.8793168591865
"181","M-2-23",2,"9/14/2023","I","HEAT","I-HEAT",9.089,25.7,53.1,1.03686704165391,2.93,14.0670362758174
"182","M-2-24",2,"9/14/2023","G","HEAT","G-HEAT",8.512,25.9,53.1,1.03680045521341,2.93,13.1735506004526
"183","M-2-25",2,"9/14/2023","E","HEAT","E-HEAT",8.708,25.6,53.2,1.03697661752364,2.93,13.4781430785199
"184","M-2-5",2,"9/14/2023","C","HEAT","C-HEAT",8.427,25.8,53.1,1.03683378366202,2.93,13.0422304111051
