Fragment ID,Timepoint,Treatment,Temperature,T-T,dry_mass_mg,dry_mass_g,surface_area_cm2
M-1-9,T2,I,AMB,I-AMB,128.8,0.1288,25.239883
M-2-9,T2,I,AMB,I-AMB,200.45,0.20045,21.63055
M-3-9,T2,I,AMB,I-AMB,123.65,0.12365,18.541828
M-4-9,T2,I,AMB,I-AMB,134,0.134,18.829024
M-5-9,T2,I,AMB,I-AMB,175.05,0.17505,14.787259
M-6-9,T2,I,AMB,I-AMB,154.3,0.1543,33.916369
M-7-9,T2,I,AMB,I-AMB,129.85,0.12985,20.875978
M-8-9,T2,I,AMB,I-AMB,246.25,0.24625,16.176556
M-9-9,T2,I,AMB,I-AMB,59.95,0.05995,20.215864
M-1-19,T2,E,AMB,E-AMB,125.45,0.12545,37.781503
M-2-19,T2,E,AMB,E-AMB,166.35,0.16635,18.996373
M-3-19,T2,E,AMB,E-AMB,119.25,0.11925,21.228421
M-4-19,T2,E,AMB,E-AMB,181.95,0.18195,16.55275
M-5-19,T2,E,AMB,E-AMB,176.15,0.17615,29.173813
M-6-19,T2,E,AMB,E-AMB,200.25,0.20025,26.95405
M-7-19,T2,E,AMB,E-AMB,159.6,0.1596,36.570202
M-8-19,T2,E,AMB,E-AMB,232.15,0.23215,17.624275
M-9-30,T2,E,AMB,E-AMB,235.35,0.23535,27.394399
M-1-28,T2,G,HEAT,G-HEAT,190.95,0.19095,16.756135
M-2-28,T2,G,HEAT,G-HEAT,167.15,0.16715,27.323965
M-3-28,T2,G,HEAT,G-HEAT,210.4,0.2104,16.968802
M-4-28,T2,G,HEAT,G-HEAT,151.15,0.15115,18.02422
