Date,Time,TANK,LIGHT (PAR)
7/27/2023,9:00,MCAP AMB,88.6
7/27/2023,9:15,MCAP AMB,75.3
7/27/2023,9:30,MCAP AMB,124.2
7/27/2023,9:45,MCAP AMB,172.2
7/27/2023,10:00,MCAP AMB,125.9
7/27/2023,10:15,MCAP AMB,149.4
7/27/2023,10:30,MCAP AMB,452.4
7/27/2023,10:45,MCAP AMB,109.1
7/27/2023,11:00,MCAP AMB,89.6
7/27/2023,11:15,MCAP AMB,402.1
7/27/2023,11:30,MCAP AMB,644.5
7/27/2023,11:45,MCAP AMB,567.2
7/27/2023,12:00,MCAP AMB,224.5
7/27/2023,12:15,MCAP AMB,116.9
7/27/2023,12:30,MCAP AMB,263.2
7/27/2023,12:45,MCAP AMB,581.4
7/27/2023,13:00,MCAP AMB,632.6
7/27/2023,13:15,MCAP AMB,277.8
7/27/2023,13:30,MCAP AMB,305.1
7/27/2023,13:45,MCAP AMB,346.8
7/27/2023,14:00,MCAP AMB,402.7
7/27/2023,14:15,MCAP AMB,146.2
7/27/2023,14:30,MCAP AMB,254.5
7/27/2023,14:45,MCAP AMB,92.8
7/27/2023,15:00,MCAP AMB,97.6
7/27/2023,15:15,MCAP AMB,70.7
7/27/2023,15:30,MCAP AMB,88.1
7/27/2023,15:45,MCAP AMB,134.7
7/27/2023,16:00,MCAP AMB,96.3
7/27/2023,16:15,MCAP AMB,68.9
7/27/2023,16:30,MCAP AMB,75.8
7/27/2023,16:45,MCAP AMB,130.8
7/27/2023,17:00,MCAP AMB,155.6
7/27/2023,17:15,MCAP AMB,100.9
7/27/2023,17:30,MCAP AMB,40
7/27/2023,17:45,MCAP AMB,42.2
7/27/2023,18:00,MCAP AMB,75.6
7/27/2023,18:15,MCAP AMB,28.9
7/27/2023,18:30,MCAP AMB,21.6
7/27/2023,18:45,MCAP AMB,9.8
7/27/2023,19:00,MCAP AMB,5.6
7/27/2023,19:15,MCAP AMB,2.4
7/27/2023,19:30,MCAP AMB,0.2
7/27/2023,19:45,MCAP AMB,0
7/27/2023,20:00,MCAP AMB,0
7/27/2023,20:15,MCAP AMB,0
7/27/2023,20:30,MCAP AMB,0
7/27/2023,20:45,MCAP AMB,0
7/27/2023,21:00,MCAP AMB,0
7/27/2023,21:15,MCAP AMB,0
7/27/2023,21:30,MCAP AMB,0
7/27/2023,21:45,MCAP AMB,0
7/27/2023,22:00,MCAP AMB,0
7/27/2023,22:15,MCAP AMB,0
7/27/2023,22:30,MCAP AMB,0
7/27/2023,22:45,MCAP AMB,0
7/27/2023,23:00,MCAP AMB,0
7/27/2023,23:15,MCAP AMB,0
7/27/2023,23:30,MCAP AMB,0
7/27/2023,23:45,MCAP AMB,0
7/27/2023,0:00,MCAP AMB,0
7/28/2023,0:15,MCAP AMB,0
7/28/2023,0:30,MCAP AMB,0
7/28/2023,0:45,MCAP AMB,0
7/28/2023,1:00,MCAP AMB,0
7/28/2023,1:15,MCAP AMB,0
7/28/2023,1:30,MCAP AMB,0
7/28/2023,1:45,MCAP AMB,0
7/28/2023,2:00,MCAP AMB,0
7/28/2023,2:15,MCAP AMB,0
7/28/2023,2:30,MCAP AMB,0
7/28/2023,2:45,MCAP AMB,0
7/28/2023,3:00,MCAP AMB,0
7/28/2023,3:15,MCAP AMB,0
7/28/2023,3:30,MCAP AMB,0
7/28/2023,3:45,MCAP AMB,0
7/28/2023,4:00,MCAP AMB,0
7/28/2023,4:15,MCAP AMB,0
7/28/2023,4:30,MCAP AMB,0
7/28/2023,4:45,MCAP AMB,0
7/28/2023,5:00,MCAP AMB,0
7/28/2023,5:15,MCAP AMB,0
7/28/2023,5:30,MCAP AMB,0
7/28/2023,5:45,MCAP AMB,0
7/28/2023,6:00,MCAP AMB,0
7/28/2023,6:15,MCAP AMB,1.2
7/28/2023,6:30,MCAP AMB,8
7/28/2023,6:45,MCAP AMB,17.4
7/28/2023,7:00,MCAP AMB,19.1
7/28/2023,7:15,MCAP AMB,20
7/28/2023,7:30,MCAP AMB,22.3
7/28/2023,7:45,MCAP AMB,31.6
7/28/2023,8:00,MCAP AMB,53.1
7/28/2023,8:15,MCAP AMB,85.2
7/28/2023,8:30,MCAP AMB,74.8
7/28/2023,8:45,MCAP AMB,65.3
7/28/2023,9:00,MCAP AMB,69.7
7/28/2023,9:15,MCAP AMB,60.3
7/28/2023,9:30,MCAP AMB,159.6
7/28/2023,9:45,MCAP AMB,246.9
7/28/2023,10:00,MCAP AMB,124.7
7/28/2023,10:15,MCAP AMB,605
7/28/2023,10:30,MCAP AMB,259.2
7/28/2023,10:45,MCAP AMB,64.7
7/28/2023,11:00,MCAP AMB,190.1
7/28/2023,11:15,MCAP AMB,588.2
7/28/2023,11:30,MCAP AMB,688.7
7/28/2023,11:45,MCAP AMB,695.1
7/28/2023,12:00,MCAP AMB,467.3
7/28/2023,12:15,MCAP AMB,564
7/28/2023,12:30,MCAP AMB,469.3
7/28/2023,12:45,MCAP AMB,502.3
7/28/2023,13:00,MCAP AMB,548.4
7/28/2023,13:15,MCAP AMB,120.9
7/28/2023,13:30,MCAP AMB,123
7/28/2023,13:45,MCAP AMB,122.2
7/28/2023,14:00,MCAP AMB,195.2
7/28/2023,14:15,MCAP AMB,121.7
7/28/2023,14:30,MCAP AMB,127.6
7/28/2023,14:45,MCAP AMB,101.4
7/28/2023,15:00,MCAP AMB,88.2
7/28/2023,15:15,MCAP AMB,70.8
7/28/2023,15:30,MCAP AMB,65.1
7/28/2023,15:45,MCAP AMB,49.7
7/28/2023,16:00,MCAP AMB,49.1
7/28/2023,16:15,MCAP AMB,78.5
7/28/2023,16:30,MCAP AMB,65.9
7/28/2023,16:45,MCAP AMB,79.7
7/28/2023,17:00,MCAP AMB,227.1
7/28/2023,17:15,MCAP AMB,278.2
7/28/2023,17:30,MCAP AMB,33.7
7/28/2023,17:45,MCAP AMB,36.5
7/28/2023,18:00,MCAP AMB,88.3
7/28/2023,18:15,MCAP AMB,18.1
7/28/2023,18:30,MCAP AMB,14.4
7/28/2023,18:45,MCAP AMB,10.8
7/28/2023,19:00,MCAP AMB,5.3
7/28/2023,19:15,MCAP AMB,2.3
7/28/2023,19:30,MCAP AMB,0.4
7/28/2023,19:45,MCAP AMB,0
7/28/2023,20:00,MCAP AMB,0
7/28/2023,20:15,MCAP AMB,0
7/28/2023,20:30,MCAP AMB,0
7/28/2023,20:45,MCAP AMB,0
7/28/2023,21:00,MCAP AMB,0
7/28/2023,21:15,MCAP AMB,0
7/28/2023,21:30,MCAP AMB,0
7/28/2023,21:45,MCAP AMB,0
7/28/2023,22:00,MCAP AMB,0
7/28/2023,22:15,MCAP AMB,0
7/28/2023,22:30,MCAP AMB,0
7/28/2023,22:45,MCAP AMB,0
7/28/2023,23:00,MCAP AMB,0
7/28/2023,23:15,MCAP AMB,0
7/28/2023,23:30,MCAP AMB,0
7/28/2023,23:45,MCAP AMB,0
7/28/2023,0:00,MCAP AMB,0
7/29/2023,0:15,MCAP AMB,0
7/29/2023,0:30,MCAP AMB,0
7/29/2023,0:45,MCAP AMB,0
